URL,Selector,Snippet,Explanation
"https://www.puertoricobeachfinder.com/quiz.php","div.grid > div > div.space-y-2 > h5.text-xs","<h5 class=""text-xs font-semibold text-gray-500 uppercase tracking-wider"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/quiz.php","div.grid > div > div.mt-6 > h5.text-xs","<h5 class=""text-xs font-semibold text-gray-500 uppercase tracking-wider mb-3"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.w-full > div.space-y-6 > div.flex > span","<span>","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.w-full > div.w-full > div.lg:hidden > p.text-center","<p class=""text-center text-sm text-gray-500 mb-4"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","div.w-full > div.w-full > div.mt-8 > p.text-xs","<p class=""text-xs text-gray-500"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fprofile.php","body.min-h-screen > footer.bg-brand-darker > div.max-w-7xl > p.text-xs","<p class=""text-xs text-gray-600"">","Fix any of the following:
  Element has insufficient color contrast of 2.2 (foreground color: #4b5563, background color: #132024, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.w-full > div.space-y-6 > div.flex > span","<span>","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.w-full > div.w-full > div.lg:hidden > p.text-center","<p class=""text-center text-sm text-gray-500 mb-4"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.lg:hidden > div.grid > div.bg-white/5 > p.text-gray-500","<p class=""text-gray-500 text-xs mt-1"">","Fix any of the following:
  Element has insufficient color contrast of 3 (foreground color: #6b7280, background color: #1f2b2f, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
"https://www.puertoricobeachfinder.com/login.php?redirect=%2Fonboarding.php","div.w-full > div.w-full > div.mt-8 > p.text-xs","<p class=""text-xs text-gray-500"">","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #6b7280, background color: #132024, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1"
