id,name,municipality,db_lat,db_lng,google_lat,google_lng,distance_m,priority,google_name,google_types,type_match,is_suspect,is_duplicate_placeid,place_id,recommended_action,notes
9380c8d8-f78b-4971-b8aa-0dab8cdb0a1c,"Aguada Malecón Strip",Aguada,18.391593,-67.196274,18.3915925,-67.1962738,0,OK,"Playa Espinar",establishment|natural_feature,Y,N,N,ChIJdSAniLakAowRz8iRxVLwIuA,KEEP_CURRENT,
d62ece9c-8768-4385-8908-2eafea8494b9,"Aguada Town Beach",Aguada,18.38158,-67.218218,18.3815797,-67.2182178,0,OK,"Aguada Beach",establishment|natural_feature,Y,N,N,ChIJfza8teikAowRbafuKKlCxes,KEEP_CURRENT,
2d0ac20c-f2a7-4197-8f68-c55c930556a6,"Aguirre Bay Shore",Guayama,17.9564,-66.1968,17.9370614,-66.1735736,3265,CRITICAL,"Los Limones Beach",establishment|point_of_interest|tourist_attraction,Y,N,N,ChIJwaGEFTu0HIwRIGXWzlsV55w,REVIEW_DISTANCE,"3265m off - may be wrong place"
43d5a40b-43f6-4617-8c0b-87232fbdd726,"Airport Beach (Vieques)",Vieques,18.135,-65.494,18.0957199,-65.492351,4371,CRITICAL,"Black Sand Beach",establishment|natural_feature,Y,N,Y,ChIJOzwCsPa3BIwRY37gWsCq6X0,REVIEW_DUPLICATE,"Shared place_id with 4 other beach(es)"
3d3383e7-75cd-4afa-948e-02affc86ee17,"Almendro's Beach",Rincon,18.309988,-67.240422,18.3099879,-67.2404215,0,OK,"Playa Los Almendros",establishment|point_of_interest|tourist_attraction,Y,N,N,ChIJHe3iLXSvAowRAKHjYN8D6rg,KEEP_CURRENT,
7eadde3a-0ee5-41a4-8748-b5b316e4614a,"Ama's Beach",Rincon,18.327361,-67.250431,18.327361,-67.2504309,0,OK,"Ama's Beach",establishment|point_of_interest|tourist_attraction,Y,N,N,ChIJxaE0YgevAowRwnnfL5NyQwQ,KEEP_CURRENT,
5af58fb9-553b-4762-ae7f-52f2379e03a6,"Ardilla (north pocket)",Aguadilla,18.4755,-67.1519,18.4587557,-67.1639648,2255,CRITICAL,"Crash Boat Beach",establishment|natural_feature,Y,N,Y,ChIJBa_pxxi9AowR7rJ9I-N9kr0,REVIEW_DUPLICATE,"Shared place_id with 8 other beach(es)"
589b9469-80ee-4980-a3bc-b51b42f0d760,"Arecibo Harbor",Arecibo,18.480861,-66.701513,18.4808607,-66.7015131,0,OK,"Arecibo Harbor",establishment|natural_feature,Y,N,N,ChIJmZYS8dfgAowRwx7FYOMFmqQ,KEEP_CURRENT,
91db6dcd-0332-42fb-87d9-d61057c1f3e2,"Arecibo Lighthouse and Historical Park",Arecibo,18.481861,-66.698644,18.481861,-66.698644,0,OK,"Arecibo Lighthouse and Historical Park",establishment|park|point_of_interest|tourist_attraction,Y,N,N,ChIJHV69iSfhAowRtDgipP3xKH8,KEEP_CURRENT,
5e337067-ffae-47cf-8639-b642e57b4a33,"Arecibo Oceanfront Paradise",Caguas,18.492439,-66.633602,18.492439,-66.633602,0,OK,"Arecibo Oceanfront Paradise",establishment|natural_feature,Y,N,N,ChIJ7Ulbs8PhAowRJ7RMSQc-A4U,KEEP_CURRENT,
