id,name,municipality,db_lat,db_lng,google_lat,google_lng,distance_m,priority,google_name,google_types,place_id_found,query_used,confidence,recommended_action,notes
9727c31f-1775-4c09-8feb-035d28123179,"Balneario. Vega Baja","Vega Baja",18.4906477,-66.3956018,18.4906477,-66.3956018,0,OK,"Playa De Vega",natural_feature|establishment,ChIJ_YlfVMkQA4wRKTXigR8WZxA,"Balneario. Vega Baja, Vega Baja, Puerto Rico",HIGH,KEEP_CURRENT,
338021f6-4b18-47b2-ad28-2912f811a828,"Blue Beach",Vieques,18.1128874,-65.3874707,18.1128874,-65.3874707,0,OK,"Playa La Chiva",natural_feature|establishment,ChIJW4Pr73PGBIwRH6q8dgIVCMo,"Blue Beach, Vieques, Puerto Rico",HIGH,KEEP_CURRENT,
ad2fbfba-e37b-4c86-b6e6-0f108549e8b1,Guánica,Guanica,17.998127,-66.927319,17.953259,-66.9042928,5552,CRITICAL,"Playa Jaboncillo",tourist_attraction|point_of_interest|establishment,ChIJdSFqKDU3HYwREw24qY_rFWs,"Guánica Puerto Rico beach",LOW,REVIEW_DISTANCE,"5552m off - may be wrong place"
86c6dbbc-88a6-4787-86d7-553f23774896,"Los Pozos Beach","Cabo Rojo",18.002186,-67.19768,18.0021856,-67.1976796,0,OK,"Los Pozos Beach",natural_feature|establishment,ChIJAxIF8i5QHYwRoGylVH5VsGU,"Los Pozos Beach, Cabo Rojo, Puerto Rico",HIGH,KEEP_CURRENT,
2b28383e-990b-4ebe-a6c6-17717a467e5e,Luquillo,Luquillo,18.3843827,-65.7295596,18.3716049,-65.7175612,1903,HIGH,Luquillo,locality|political,ChIJfzah9HOZBIwRyjpzopc6JhA,"Luquillo, Luquillo, Puerto Rico",HIGH,ACCEPT,"1903m off, high confidence"
6f74a726-292b-4c8b-92c7-2dbb993b310b,"Parque del Litoral Shore",Mayaguez,18.201,-67.142,18.1970576,-67.1539474,1336,HIGH,"Paseo del Litoral Israel ""Shorty"" Castro",park|tourist_attraction|point_of_interest|establishment,ChIJDbFU2kWyAowRNVFySju11o4,"Parque del Litoral Shore, Mayaguez, Puerto Rico",HIGH,ACCEPT,"1336m off, high confidence"
0f1b280d-acdf-4cf0-8115-d7a8b9de4784,"Playa Corecega",Rincon,18.3129175,-67.2410718,18.3129175,-67.2410718,0,OK,"Playa Córcega",tourist_attraction|point_of_interest|establishment,ChIJ8Y6CmOGvAowR-4I2mTo7jUs,"Playa Corecega, Rincon, Puerto Rico",HIGH,KEEP_CURRENT,
95b59edf-fde9-4eaa-bb8a-499610f98a2b,"Playa Dorado Del Mar Beach",Dorado,18.4767223,-66.2771501,18.4767223,-66.2771501,0,OK,"Playa Dorado Del Mar Beach",tourist_attraction|point_of_interest|establishment,ChIJhZCsZgATA4wRBx2zbZHT6AA,"Playa Dorado Del Mar Beach, Dorado, Puerto Rico",HIGH,KEEP_CURRENT,
ae0ef758-63ea-4a9a-afdb-9ba69206d59e,"Playa El Combate","Cabo Rojo",17.9766404,-67.2127867,17.9766404,-67.2127867,0,OK,"Playa El Combate Beach",natural_feature|establishment,ChIJk65gwGxQHYwRf999ZKFJtb4,"Playa El Combate, Cabo Rojo, Puerto Rico",HIGH,KEEP_CURRENT,
955a8b97-26d1-444c-8e2f-77cf3d642da6,"Playa Escondida",Vieques,18.114927,-65.377375,18.1149272,-65.3773751,0,OK,"Playa Escondida",tourist_attraction|point_of_interest|establishment,ChIJAVdNqNnFBIwRnNpG2tChuJo,"Playa Escondida, Vieques, Puerto Rico",HIGH,KEEP_CURRENT,
8b46d2f6-aee8-49b2-a60c-53fbcff7144a,"Playa Espinar",Aguadilla,18.409017,-67.170195,18.4090168,-67.1701946,0,OK,"Playa Espinar",tourist_attraction|point_of_interest|establishment,ChIJvSJGvqC8AowRh71up8OiGP8,"Playa Espinar, Aguadilla, Puerto Rico",HIGH,KEEP_CURRENT,
f0d50c5e-8c44-466f-8a7f-192d9cc7afcb,"Playa Icacos",Yabucoa,18.063021,-65.799605,18.0630211,-65.7996054,0,OK,"Playa Icacos",natural_feature|establishment,ChIJ3z-fYnqpBIwRYFV4Y9Z6taQ,"Playa Icacos, Yabucoa, Puerto Rico",HIGH,KEEP_CURRENT,
7fe9724d-47a8-4245-97d6-6b303e0e58be,"Playa Isabela",Isabela,18.508391,-67.026038,18.5083912,-67.0260379,0,OK,"Playa Isabela",tourist_attraction|point_of_interest|establishment,ChIJb3edecKVAowRYSJfqRSqkXM,"Playa Isabela, Isabela, Puerto Rico",HIGH,KEEP_CURRENT,
a6b7b6ed-1d6d-42a0-90d0-dc4b68ce686d,"Playa Punta Lima (Naguabo)",Naguabo,18.1861674,-65.694125,18.1861674,-65.694125,0,OK,"Punta Lima Beach",tourist_attraction|point_of_interest|establishment,ChIJzZihcQClBIwRkORrU4qs9KU,"Playa Punta Lima (Naguabo), Naguabo, Puerto Rico",HIGH,KEEP_CURRENT,
eeb22dbc-a15a-4920-8a64-e7d449a15034,"Playa Salinas",Salinas,17.9649,-66.3083,17.9778953,-66.3321984,2912,CRITICAL,"Salinas Beach",tourist_attraction|point_of_interest|establishment,ChIJM3OW_nfMHIwRMDZSyOvldDo,"Playa Salinas beach, Salinas, Puerto Rico",MEDIUM,REVIEW,"2912m off, medium confidence"
99ef0bfb-0c86-4175-adcc-648449780508,"Playa Sardinera",Isabela,18.5102871,-67.020755,18.5102871,-67.020755,0,OK,"Playa Sardinera",tourist_attraction|point_of_interest|establishment,ChIJn-oVTwCVAowRMTJLsN68y4I,"Playa Sardinera, Isabela, Puerto Rico",HIGH,KEEP_CURRENT,
da866e32-ccea-4718-8501-dfcec0b34f21,"Playa Tamarindo",Guanica,17.953452,-66.846965,17.9534517,-66.8469653,0,OK,"Playa Tamarindo",natural_feature|establishment,ChIJaQ_NYVowHYwRVMwMq2CEBsU,"Playa Tamarindo, Guanica, Puerto Rico",HIGH,KEEP_CURRENT,
c039b91f-e4d2-4492-ba22-bc827ae185b9,"Playa Tropical (Naguabo)",Naguabo,18.1866198,-65.7273968,18.1866198,-65.7273968,0,OK,"Tropical Beach Naguabo",tourist_attraction|point_of_interest|establishment,ChIJNcw7j0-kBIwRsEXBoqm39VM,"Playa Tropical (Naguabo), Naguabo, Puerto Rico",HIGH,KEEP_CURRENT,
b92fb9f6-aa74-4351-88ec-67a9adbbb67f,"Playa de Fajardo",Fajardo,18.36997,-65.638362,18.3766925,-65.6452632,1044,HIGH,"Playa Escondida",tourist_attraction|point_of_interest|establishment,ChIJecve9EiXBIwR85eeHhB5_ok,"Playa de Fajardo Puerto Rico beach",HIGH,ACCEPT,"1044m off, high confidence"
53b74fbf-7aac-463e-b698-bde7db82871b,"Playa de Piñones",Loiza,18.453205,-65.967257,18.453205,-65.9672567,0,OK,"Playa de Piñones",tourist_attraction|point_of_interest|establishment,ChIJjXXR2KBlA4wRMi449xbYwk8,"Playa de Piñones, Loiza, Puerto Rico",HIGH,KEEP_CURRENT,
d5b8b6c2-3726-4680-9d51-0d1e37fba823,"Playa de Ponce",Ponce,17.982837,-66.628677,17.9828367,-66.6286767,0,OK,"Playa de Ponce",point_of_interest|establishment,ChIJexWABhwqHYwRDQ2SDw5Pl0w,"Playa de Ponce beach, Ponce, Puerto Rico",HIGH,KEEP_CURRENT,
d9afa8d1-cdb8-47ea-819d-155e13223df5,"Playas Los Tubos",Manati,18.4694548,-66.4556088,18.4694548,-66.4556088,0,OK,"Los Tubos Beach",natural_feature|establishment,ChIJUzmTY74ZA4wRYzcUs1MdF8g,"Playas Los Tubos, Manati, Puerto Rico",HIGH,KEEP_CURRENT,
781669fa-0081-4b86-98c7-850dea0c98f9,"Puerto de Humacao",Humacao,18.157892,-65.747576,18.1462866,-65.7678091,2497,CRITICAL,"Reserva Humacao Beach",tourist_attraction|point_of_interest|establishment,ChIJo5ukfMSnBIwRnj0DuOrE91c,"Puerto de Humacao beach, Humacao, Puerto Rico",MEDIUM,REVIEW,"2497m off, medium confidence"
db550596-b5e5-4499-8876-86bff7b8639a,Rincón,Rincon,18.338959,-67.249779,18.3417431,-67.2510758,338,MEDIUM,Rincón,locality|political,ChIJCdPD6I-lAowRK-opL7569n0,"Rincón, Rincon, Puerto Rico",HIGH,ACCEPT,"338m off, high confidence"
8e65aefe-c8dc-4716-9233-0b9ffc749660,"Rio Mar Beach",Hatillo,18.487689,-66.83425,18.4876893,-66.8342496,0,OK,"Rio Mar Beach",tourist_attraction|point_of_interest|establishment,ChIJewD_AUPoAowRbUuHyHLTqTE,"Rio Mar Beach, Hatillo, Puerto Rico",HIGH,KEEP_CURRENT,
